	ZAM1_s1_YZA	ZAM1_s2_YZA	ZAM1_s3_YZA	ZAM1_s4_YZA	ZAM1_s5_YZA	ZAM1_s6_YZA	ZAM1_s7_YZA	ZAM1_s8_YZA	ZAM1_s9_YZA	ZAM1_s10_YZA	ZAM1_s20_YZS	ZAM1_s21_YZS	ZAM1_s22_YZS	ZAM1_s23_YZS	ZAM1_s24_YZS	ZAM1_s25_YZS	ZAM1_s26_YZS	ZAM1_s27_YZS	ZAM1_s28_YZS	ZAM1_s29_YZS	ZAM1_s39_YZA	ZAM1_s40_YZA	ZAM1_s41_YZA	ZAM1_s43_YZA	ZAM1_s44_YZA	ZAM1_s45_YZA	ZAM1_s46_YZA	ZAM1_s47_YZA	ZAM1_s48_YZA	ZAM1_s58_YZS	ZAM1_s59_YZS	ZAM1_s60_YZS	ZAM1_s61_YZS	ZAM1_s62_YZS	ZAM1_s63_YZS	ZAM1_s65_YZS	ZAM1_s66_YZS	ZAM2_s1_YZD	ZAM2_s2_YZD	ZAM2_s3_YZD	ZAM2_s4_YZD	ZAM2_s5_YZD	ZAM2_s6_YZD	ZAM2_s7_YZD	ZAM2_s8_YZD	ZAM2_s9_YZD	ZAM2_s10_YZD	ZAM2_s21_YZA	ZAM2_s22_YZA	ZAM2_s23_YZA	ZAM2_s24_YZA	ZAM2_s25_YZA	ZAM2_s26_YZA	ZAM2_s27_YZA	ZAM2_s28_YZA	ZAM2_s29_YZA	ZAM2_s30_YZA	ZAM2_s40_YZD	ZAM2_s41_YZD	ZAM2_s42_YZD	ZAM2_s43_YZD	ZAM2_s44_YZD	ZAM2_s45_YZD	ZAM2_s46_YZD	ZAM2_s47_YZD	ZAM2_s48_YZD	ZAM2_s49_YZD	ZAM2_s60_YZA	ZAM2_s61_YZA	ZAM2_s63_YZA	ZAM2_s64_YZA	ZAM2_s65_YZA	ZAM2_s66_YZA	ZAM2_s67_YZA	ZAM2_s69_YZA
ZAM1_s1_YZA	0.0	1.0830186723548867	1.2704321621174461	1.0943981756896117	0.49401864384028754	1.7241690658787308	1.6263583145451765	3.1734179613628632	2.685666574018107	1.6762629074705238	1.1234508632563285	0.842624830103592	0.9991768732279668	0.48264391001712065	0.23797673782669304	1.273317040659506	2.812394472626248	2.3312957008990742	1.8478748982368054	2.5205267406202307	0.29382050659349707	0.2027153443257777	0.5164228573014665	0.4792899485798316	1.0801436283047723	2.317424446402639	2.3720319782371644	1.6650892295018171	1.2373687599853076	1.0612461061249834	0.5234361772896211	1.0344142581946807	0.9586798438521451	3.3437284160242533	2.6541178495590834	1.6976761178089979	2.7804895482763983	2.3303291736877565	1.3039668046967103	2.166398126497692	1.3956693300045877	1.4530875188579577	1.2121890850870685	0.5731803604449717	1.3310917368687083	0.6657742424514664	1.0804451388295875	1.056821984047279	0.976359881360666	0.6409269218516082	2.032848554221274	0.7632188991888595	0.8583031303819518	0.491478542999791	0.7678967416868664	0.8509211214675801	0.6214933237433162	1.781393570782961	1.7532196181525137	2.0436094550661523	1.8164908122638492	2.3500378473288963	0.7452880417659686	0.8462583370116963	0.6312830303760264	0.6847463073719836	1.3181853175035574	1.1302197142598602	1.905894036248865	2.5959408043743033	1.750386602323811	1.2594598950593334	0.11958192003152121	0.56915014610432	0.8785856811439795
ZAM1_s2_YZA	1.0830186723548867	0.0	0.19244760659278173	2.1613933741553297	0.6013046221740694	0.6664841097324637	0.5688426830125889	2.0933396768643036	1.6097560232409536	0.610812809621429	0.19243943992586532	0.24829470650841504	2.081992223189124	0.6104522764851107	1.3193888299162582	0.2586441143009125	1.7396577700247229	1.2539294588405328	0.7818466602066856	1.4566747877793262	1.3654894740330998	0.9221350599517419	1.5728407390360237	1.5541850800405725	0.19213833997452037	1.2373716233752543	1.292941693954195	0.5876383009177403	0.1998598344174332	0.06343937187534263	1.5508619598125686	2.116717871908573	2.03847602435119	2.261041221270221	1.57756615564849	0.6331836281297137	1.7161039530532975	1.2638649561086197	0.27227553022568424	1.1021010384640915	0.3253341779697622	0.375573493427794	0.13178645839166	0.5175272611929118	0.26840770635741024	0.4553792236153113	0.06581884526145666	0.0519128886377651	0.19882545009907227	0.4869574711012693	0.9545747885883408	0.32165325786101995	0.2975827512572696	0.5947371775208391	0.31877239274749064	0.2321206566587683	0.4825726576087356	0.6999217462732185	0.6747029769556294	0.9819911753747166	0.7423519914075571	1.2785015196605012	0.3442929817578812	0.2380779216102399	0.45274703755577006	0.4140428525220956	0.32278177706874817	0.08708868675357935	0.8429149476403149	1.5176767800557078	0.6765153229942251	0.1798504615160166	0.9887363584266845	0.5200731185043518	0.2050533728066062
ZAM1_s3_YZA	1.2704321621174461	0.19244760659278173	0.0	2.341810275627427	0.7928263127722608	0.5190911539269767	0.42697894211313736	1.9129432418554029	1.434193781108153	0.45778500489190427	0.2883820647215416	0.4407052184262449	2.2684183362729047	0.8017042887340656	1.507577576399442	0.23698661965840628	1.566271605193306	1.0782582713275513	0.6225187764085256	1.29079647480894	1.549608514935286	1.1036327061142128	1.7533920988762035	1.7381140327706295	0.3154071997020041	1.0586480421435183	1.1152171305005256	0.4192864754937327	0.18710402288194392	0.23532692014066037	1.7276540359583352	2.3025746929684554	2.222978520637969	2.0766946422279515	1.4015275593184076	0.4802445297087063	1.548519755156886	1.0974944828397595	0.22271223251223765	0.938923996425037	0.19312963481116505	0.21855434867759543	0.09460773673651993	0.7089047266462338	0.17056233483202515	0.6475051853625	0.22201755938391546	0.23246943739309484	0.3691147230046353	0.6568922133877798	0.7796079995692896	0.5072136611971524	0.44678349042486315	0.7848616962185168	0.5103382568426076	0.4216390388080167	0.6598758604040909	0.5219297140208449	0.5026426687627966	0.8225612153967837	0.5751340222987807	1.1080511656141228	0.5362753329055883	0.4243314783343561	0.6425614354485089	0.6064314033486685	0.29140122132045204	0.18711295497365404	0.684993745630608	1.3401633322091733	0.5110732243081463	0.014455323584348975	1.1729922949043519	0.7034412663344904	0.39247064588448327
ZAM1_s4_YZA	1.0943981756896117	2.1613933741553297	2.341810275627427	0.0	1.5874041568845412	2.814555303467189	2.716371448695685	4.2542138034885895	3.770833020956578	2.7646489446197817	2.216411785369824	1.929509118019802	0.24358361679474058	1.5756904256052984	0.8768850182491159	2.3651439556243306	3.8996688527007266	3.415201671709316	2.936633088325043	3.611102014123012	0.8015960723945682	1.2392600214631986	0.5885861259788944	0.6153050971509822	2.173396121033815	3.3985968183711246	3.454317693770256	2.7484769121386123	2.326628161893742	2.1462106926257545	0.6201237988005427	0.21138402947554102	0.19020642687366132	4.417764788299967	3.738778569827288	2.786401965804569	3.8711696730196934	3.4198599902621014	2.394844312190032	3.256347968734277	2.4812506377983508	2.5360234859656248	2.2926851173779013	1.6644052370475877	2.418053361765478	1.760015410183679	2.165847115064315	2.1403804176013845	2.0691305572139336	1.6873950467103653	3.1158960590216584	1.83993278495379	1.9051762701467287	1.5816276165077008	1.8541535796885111	1.931621230052693	1.6819377039629777	2.8609586815180146	2.835933375319594	3.1340328045114827	2.902027330360168	3.4375778654541347	1.8334108897526484	1.9234282144045316	1.7171787776328507	1.7765382659264102	2.4115959071310877	2.2159509617215476	2.99565427373445	3.6790699645699187	2.8359283945636182	2.3321304276564017	1.1750179053785095	1.6413565830354522	1.9566458056555556
ZAM1_s5_YZA	0.49401864384028754	0.6013046221740694	0.7928263127722608	1.5874041568845412	0.0	1.2305126278226826	1.1328696566700962	2.6826692985969625	2.193441395361098	1.183407117512602	0.6294438350032874	0.35459026716652975	1.4900645282430298	0.012956689305912808	0.7250702673993783	0.7794061290110407	2.319361713590732	1.8398563836157544	1.354732264242601	2.026670163626026	0.7858116883145344	0.3742001802313672	1.0040417437849714	0.9729318506385676	0.5861929399746953	1.827306741833317	1.8813043184141172	1.174972274933337	0.7446339438121651	0.5727919344245896	0.9973679454784891	1.5262744807809179	1.4522397823915727	2.855811140579441	2.162110660615167	1.2046521961976133	2.286593209882505	1.8367444725098871	0.8103464437197301	1.672738282378327	0.9049109681270913	0.963963121663443	0.726612677123126	0.08399451869207107	0.839598251899948	0.17409497258939444	0.5914022872793158	0.5698527999440801	0.4823438442865361	0.27275807889295406	1.5421893922639556	0.29671510268842227	0.4354093091605577	0.04008354354400772	0.28255683089780514	0.37204664936540793	0.22566951431181773	1.293322155199976	1.26328871657061	1.549855047244962	1.3248626322207293	1.857086235618984	0.25728169442054827	0.37336365510460345	0.15501274256833042	0.1917568604138091	0.8243195051830909	0.6405252474164598	1.4123665406043338	2.1046160299856003	1.2588557838971162	0.7807697449567547	0.4189072156215434	0.16023354566326425	0.40277326859139095
ZAM1_s6_YZA	1.7241690658787308	0.6664841097324637	0.5190911539269767	2.814555303467189	1.2305126278226826	0.0	0.0983795582735606	1.4593944410230562	0.9662876829447523	0.06437510684311977	0.6029787303431686	0.8853711720841362	2.71983850058454	1.2416544605084132	1.9550143064215972	0.4514756719124422	1.0896197115799122	0.6183218890771562	0.12810125384592047	0.796597721501314	2.013896077359804	1.578621482920803	2.227438777916754	2.2020071954466722	0.6468904894364964	0.6140258674383164	0.6633360485436886	0.13733729204088418	0.4880151355025533	0.6712001735811007	2.2106493331761854	2.7564469659551745	2.682716912338094	1.6420845336358783	0.9358609043567168	0.044780541316172956	1.0566565115285746	0.6062384558227498	0.42020355957532085	0.4422345556002187	0.34147322844208683	0.30068435601732013	0.5362946247819181	1.1511678151005613	0.39972157392791596	1.0620285732733128	0.6512784331161047	0.678647658304617	0.7488258630805146	1.153352754171667	0.33476609941924723	0.9807697155960778	0.9566663654365847	1.233510537299123	0.9607496573236731	0.8872859651884434	1.1467404135894215	0.18397193805492204	0.13664527782777444	0.3195228187030513	0.12991250227705697	0.6280660709856609	0.9811479254604734	0.8987388478051631	1.09753008878372	1.039424528936694	0.41348688986569276	0.6012935146963279	0.18205408857318622	0.8814829039915678	0.09529410516347299	0.5230846679054145	1.639657483836223	1.1782082239085234	0.8653697723001766
ZAM1_s7_YZA	1.6263583145451765	0.5688426830125889	0.42697894211313736	2.716371448695685	1.1328696566700962	0.0983795582735606	0.0	1.554559476668473	1.062336029417872	0.0589340209629176	0.5063783707650248	0.7870781202815513	2.62250214069789	1.1439454841372696	1.8575906694853546	0.3544991535227819	1.1867114370175866	0.7122041400362017	0.2225454955595174	0.8947324387480611	1.9158329766917632	1.4802607124430949	2.1291651460888184	2.104002427985794	0.550360358409771	0.705415522666741	0.7562365650673775	0.116654635883224	0.38975868766711796	0.5728404917080966	2.112271322437626	2.658994926972864	2.5849756975419877	1.7352646221100538	1.03159743976573	0.07543542099503252	1.15479995115587	0.7039764891096075	0.32255286825174706	0.5401269227524623	0.24451172186067718	0.20888634913371626	0.4392197190666201	1.0532661631296232	0.3015443113651968	0.9649616613418859	0.5529136265239196	0.5803517485184524	0.6516123575167887	1.0555384835765225	0.42227212295095995	0.882434578366798	0.8603797971845776	1.135517037598291	0.8624583420321176	0.7889286510716127	1.0485491469855257	0.2221376865297277	0.173962105428454	0.41766325111304664	0.2054833837538207	0.7247107792885785	0.8829638943116477	0.8004739222648277	0.9992797455306023	0.9416242110491699	0.31978428786100543	0.5029422719235651	0.2795361330154116	0.9762347939356087	0.14669725452208626	0.4299876180168288	1.5414313495429723	1.0798324585593717	0.767115177380205
ZAM1_s8_YZA	3.1734179613628632	2.0933396768643036	1.9129432418554029	4.2542138034885895	2.6826692985969625	1.4593944410230562	1.554559476668473	0.0	0.49494214120521135	1.5012692025625058	2.060630376073169	2.330808763954399	4.17220907141443	2.6932379732657554	3.4074828378058335	1.9085871875833165	0.38893143878164255	0.8431133800916533	1.3321716081986688	0.6936290646555036	3.4585858859231067	3.0151323402650663	3.665641126681395	3.6472880275348536	2.1046351577770785	0.856137251680318	0.8014285007324846	1.5083288574838192	1.9385716623710076	2.1121862515410057	3.640545778511674	4.20780821620455	4.1310733440075476	0.21343049406539025	0.5240877392807547	1.4807352836966041	0.4680239601002076	0.8634695990194179	1.8755240951021521	1.0247075178936569	1.777970514533933	1.7204333109185566	1.9625732170748202	2.601220756421452	1.8430740057827295	2.517777028588352	2.0929735963469205	2.1168509669160374	2.2045950345038814	2.56941061835253	1.1406202360996802	2.414992869383991	2.355080013947583	2.68211535382081	2.405546621727101	2.3243464841729446	2.572523818964119	1.39343366221155	1.4202204533895053	1.146830995986712	1.357936548091581	0.8334818552811065	2.428234370448471	2.3314170737094955	2.542348013069042	2.490913465554856	1.8728750216808752	2.043233382938452	1.278318503733779	0.5784643414840044	1.4238683926197184	1.9223313223190377	3.0819459609063005	2.613321374141732	2.2983529759133607
ZAM1_s9_YZA	2.685666574018107	1.6097560232409536	1.434193781108153	3.770833020956578	2.193441395361098	0.9662876829447523	1.062336029417872	0.49494214120521135	0.0	1.0102395852466444	1.5687143940119854	1.8433829056484539	3.6835038082967393	2.204238391137852	2.918511430563055	1.4167974924814142	0.13773898164090176	0.3560418617502467	0.8397947501683758	0.21687682296847308	2.972779987876019	2.531711787261477	3.182390293944669	3.1613807276024293	1.612694876302383	0.37821139978016566	0.3203161225451935	1.0223586265540836	1.4488084731999926	1.625378053463809	3.160183607509054	3.719579583852743	3.6441436202262802	0.6891333296741293	0.03370348444642224	0.9892701534704667	0.181941480353794	0.36902066850140897	1.3843040407945577	0.5297712986455101	1.2903439221391815	1.2348096664394446	1.478255076215503	2.1127001692478657	1.354588793611721	2.026965788423824	1.6059209317563254	1.630746205237435	1.7135824659692631	2.0908234474636287	0.6553344392190389	1.9309565123594614	1.8797628247932954	2.19419332733749	1.918461722381101	1.8392601223622895	2.091310438505499	0.9122806183025799	0.9350536394437248	0.6520424495943734	0.8693129263540639	0.33886003530105885	1.9404818015714036	1.8475177498496411	2.0555009420198074	2.0017655025475256	1.3795177180842744	1.5559393303262128	0.7846530912086739	0.10035756339955466	0.9354441389177932	1.4427360975795294	2.596671116026657	2.129567481408502	1.8142540982633404
ZAM1_s10_YZA	1.6762629074705238	0.610812809621429	0.45778500489190427	2.7646489446197817	1.183407117512602	0.06437510684311977	0.0589340209629176	1.5012692025625058	1.0102395852466444	0.0	0.5594822011731959	0.8351984493926926	2.6734355812723676	1.1943030856371146	1.9084360251464196	0.40743889412174	1.1361317164640734	0.6582994364085751	0.17201140389651057	0.8472668212106576	1.9647885828392562	1.527208906702416	2.1769342704874473	2.1531618391202385	0.6034830887710775	0.6499154495339898	0.7015692356946207	0.08078210660222121	0.4389012552837605	0.618975744273285	2.1585779454133154	2.7096740398963997	2.634936312557537	1.6803203827398698	0.9791433528991261	0.022551051989782148	1.107184627536752	0.6553117510401791	0.374273922658346	0.4922917407464553	0.28560112855038855	0.24020249360550144	0.4796908417714717	1.1030928691040267	0.3468205766483453	1.0168142635938069	0.5991919744690155	0.6256554944957283	0.7034763419362883	1.0976819144441667	0.3656853379749522	0.9278167915784845	0.8982321901312538	1.1849773556596959	0.9105252791938605	0.834731551648455	1.0925653397637496	0.1662047810074043	0.11713844778054405	0.3712901684782519	0.14757712865837758	0.6737767291786533	0.9317281885458201	0.8452151140606788	1.0475580176757744	0.9918369895121356	0.3760596315268964	0.5490703566314977	0.23219689354496148	0.9228052759802949	0.08777672128686632	0.4623566163016724	1.589644767532357	1.1258957038832262	0.8118052943352948
