Eigvals	3
66.34423643499885	16.610525312203563	0.0

Proportion explained	3
0.941013044912427	0.058986955087573054	0.0

Species	340	3
ASV1	0.3817515027174051	-0.21101251075057423	0.0
ASV2	-0.4239696438819724	-0.3350593752816051	0.0
ASV3	-0.07636811408594643	-0.3827466800230067	0.0
ASV4	-0.36776316975850926	-0.19822531978705224	0.0
ASV5	0.10709116704396832	-0.10488187105859695	0.0
ASV6	-0.09638136216099415	-0.18262531425505954	0.0
ASV7	-0.1301703399161474	-0.12961789641468263	0.0
ASV8	-0.092548533938918	-0.11597713802351903	0.0
ASV9	0.06969457454742002	-0.029259976242254425	0.0
ASV10	0.1188148215593392	-0.08616149337211003	0.0
ASV11	0.021175822000344485	-0.11528086952642858	0.0
ASV12	0.09832469296481941	-0.07033915056602753	0.0
ASV13	0.030368073457742787	-0.04235001015226346	0.0
ASV14	0.10454427992029701	-0.038190227761990214	0.0
ASV15	0.08918912478674647	-0.08502109766788274	0.0
ASV17	0.06899222873041107	-0.10914737695559949	0.0
ASV18	0.04894104220619428	-0.11191829518099815	0.0
ASV19	0.08628898846036412	-0.0788715538571772	0.0
ASV20	0.03882639766568319	-0.07817314305697652	0.0
ASV23	0.10761158479077175	-0.08980025244250185	0.0
ASV24	0.03307170918986612	-0.06897694001865627	0.0
ASV25	0.11072675262311668	-0.05779134123112284	0.0
ASV26	0.007994274956452241	-0.010878578388062058	0.0
ASV27	0.004440269817283643	-0.07019514941689167	0.0
ASV28	0.09630341655455556	-0.056865741860666064	0.0
ASV29	0.08143397022148602	-0.059478583292622504	0.0
ASV30	-0.044883731439196134	-0.07736957374756248	0.0
ASV31	-0.04876694105770331	-0.08039516070073181	0.0
ASV32	0.03503197180033892	-0.02188948747975005	0.0
ASV33	0.03864470955788092	-0.14880283588244272	0.0
ASV34	0.070447330956345	-0.025992601946983163	0.0
ASV35	0.011522892038533525	-0.049615208560621564	0.0
ASV36	0.08992194697293923	-0.0820886603739188	0.0
ASV37	0.001251710164880484	-0.045746205320223235	0.0
ASV38	0.0064229379644027635	-0.013381292963431957	0.0
ASV39	0.10688540108065125	-0.01658198255952628	0.0
ASV40	0.03624539851383243	-0.03892923080510212	0.0
ASV41	-0.07664869757888461	-0.10504339479139813	0.0
ASV42	0.002909155852370559	-0.015850828679253602	0.0
ASV43	-0.09019461673449358	-0.11704387960595665	0.0
ASV44	0.04882848891136933	0.014824509058592172	0.0
ASV45	0.056343396264234416	-0.05683808158635567	0.0
ASV46	0.09009658256465475	-0.07628384222504161	0.0
ASV47	0.0008136985503575431	-0.00768525352538794	0.0
ASV48	0.08662407677315878	-0.0778582931314797	0.0
ASV49	0.03182958623595188	0.012582885824195714	0.0
ASV50	0.06895279574659126	-0.0010709992910643553	0.0
ASV51	0.0388070747585427	-0.06215330960386795	0.0
ASV52	0.043555776910548946	-0.027371680538267957	0.0
ASV53	0.04373198253072798	-0.05429485313579375	0.0
ASV54	0.07034048940244496	-0.07740930557051398	0.0
ASV55	0.08435270657582995	-0.056251858835606114	0.0
ASV56	0.08164294773315545	-0.07173799212752432	0.0
ASV58	0.027029126901963588	-0.04158366282182377	0.0
ASV59	-0.0016379134393851276	-0.02069528501623259	0.0
ASV60	0.02884740117837492	0.02278774676192914	0.0
ASV61	0.046786322291310634	0.00323277919241668	0.0
ASV62	0.05508212295436958	-0.06176819103240971	0.0
ASV63	0.05668755667474106	0.05481897422321884	0.0
ASV64	-0.023389864499102655	4.8977607220473084e-05	0.0
ASV65	0.04614996925321938	-0.01466079732482627	0.0
ASV66	0.0010186044549383368	0.020466252102012954	0.0
ASV68	-0.0022006814313501296	0.01770996942018589	0.0
ASV69	0.04952637367627243	0.01989467968917805	0.0
ASV70	0.017342506415272508	0.0503840300023726	0.0
ASV71	0.054940546348465506	0.042796392004369084	0.0
ASV72	0.036411075402048076	0.011887220999673915	0.0
ASV73	0.05227723158267893	-0.031009517547829386	0.0
ASV74	-0.005431053554345835	-0.0048795111035238375	0.0
ASV75	0.11537799536477564	-0.08681779134628423	0.0
ASV76	0.08386160697158265	0.07116609258754096	0.0
ASV77	-0.01145544613927238	-0.028210112578247754	0.0
ASV78	0.007151584721886711	-0.013851909021472071	0.0
ASV79	-0.0016257889504958905	0.034335653106786275	0.0
ASV80	0.05137320744413223	-0.0052361131201869165	0.0
ASV81	0.005033239919417181	-0.008881092618101025	0.0
ASV82	0.011755791443310822	-0.0002628797980470384	0.0
ASV83	-0.0030567485311030623	-0.005756299518903578	0.0
ASV84	-0.004615620354340423	0.0034258314765174664	0.0
ASV85	0.049102673665056405	-0.055833003135024574	0.0
ASV86	0.005351389571763637	0.003310981250372325	0.0
ASV87	0.032815322627610374	0.02080764868606412	0.0
ASV88	-0.04835807788070858	0.044044704670946185	0.0
ASV89	0.034301898082104224	0.04146502927054369	0.0
ASV90	0.042192005429042195	-0.04140838787308284	0.0
ASV91	0.0031849575717298813	-0.0203188709747867	0.0
ASV92	-0.02425349127328738	0.00521630886540537	0.0
ASV93	0.025074214644704478	0.10825144346332893	0.0
ASV94	0.024121352527331257	-0.024612677579453828	0.0
ASV95	-8.051814320395952e-05	0.042048444396715665	0.0
ASV96	0.022337562445076325	-0.02308153124304954	0.0
ASV97	0.02417047076972133	0.04209792658364997	0.0
ASV98	0.03275865744702299	0.047890059284265325	0.0
ASV99	0.01255337587289559	0.01816413446733173	0.0
ASV100	-0.06023629241386518	0.008726512411215392	0.0
ASV101	0.02310372886321364	-0.023911165386011953	0.0
ASV102	0.04697351644460317	-0.039186628846593255	0.0
ASV103	0.02721486918815606	-0.021256446886566933	0.0
ASV105	-0.025511120083883856	0.03831621901753998	0.0
ASV106	-0.020011219676844782	0.007122395923520899	0.0
ASV107	0.0008117474320646725	0.05598855129389797	0.0
ASV108	0.02264620803629281	0.0015183711435217992	0.0
ASV109	0.013477819463291877	-0.03758250214512139	0.0
ASV110	0.03296408267267929	-0.03837135742281559	0.0
ASV111	0.0337770819360298	0.027248055991392513	0.0
ASV112	0.022153987212577452	-0.023276669434414657	0.0
ASV113	0.0046968315592602165	-0.0129505875953117	0.0
ASV114	-0.00030213825950023676	0.06676187090419207	0.0
ASV115	0.01315776200024218	0.005849000499314451	0.0
ASV116	-0.004688573452419469	-0.02298974675262756	0.0
ASV117	0.002624153675897749	-0.004004372914518595	0.0
ASV118	0.0170092079867604	-0.03162992768333315	0.0
ASV119	0.053219250397517404	-0.06063182241102562	0.0
ASV120	-0.044218165364129626	0.016610129683822857	0.0
ASV121	0.013702846741106497	-0.003279595667044815	0.0
ASV122	0.019299224006925814	-0.02256225176469655	0.0
ASV123	0.004520999315306571	-0.00816534071665807	0.0
ASV124	0.01992567388007011	0.029926721540620396	0.0
ASV125	-0.009346660846685123	-0.005617696371616477	0.0
ASV126	-0.027936489791471713	-0.05480394305666136	0.0
ASV127	0.012619402900314816	-0.0226167886517485	0.0
ASV129	0.0470052707544	-0.04558618859071415	0.0
ASV130	0.0071189586690292815	-0.005241263433723883	0.0
ASV131	0.0248674078921754	0.0360687830681603	0.0
ASV132	-6.703974428186728e-05	-0.007049879267516928	0.0
ASV133	0.005529120128594711	-0.01323953470006214	0.0
ASV134	-0.01237190104888006	0.008780091406271291	0.0
ASV135	-0.023394184063324167	0.002791551184263566	0.0
ASV136	-0.004498058275830624	-0.0033950147807013252	0.0
ASV137	0.039763137917095265	0.02565571928060644	0.0
ASV138	-0.0020584275514141073	-0.020675462134673615	0.0
ASV139	-0.018762111330915158	0.0016177091898637794	0.0
ASV140	0.006928822758526344	-0.0019472838048654603	0.0
ASV141	0.0004115926943735238	-0.012095676362618815	0.0
ASV142	0.0052253133963232785	-0.02558983308246967	0.0
ASV143	0.0329990407909226	0.11614777162464586	0.0
ASV144	-0.017123007442610767	0.00875357835038711	0.0
ASV145	-0.04566598531027531	0.01960314463326951	0.0
ASV146	0.00972046670576728	0.06611368200355515	0.0
ASV147	0.01119064858489074	0.06022511925758061	0.0
ASV149	-0.007484329992986868	0.01550873429652591	0.0
ASV150	0.003978030215920094	-0.012412205371237514	0.0
ASV151	0.0136176639702125	-0.0012074464849706303	0.0
ASV152	0.016895201668318746	-0.026940655012791897	0.0
ASV153	0.03755724334165998	-0.04585349052896208	0.0
ASV154	-0.012009791207898884	0.028630763379836742	0.0
ASV155	-0.00962668366334153	-0.0024382607202790936	0.0
ASV156	-0.009788870073733868	0.003819222990734013	0.0
ASV158	0.002832045732917092	-0.011787787873027887	0.0
ASV160	-0.028992739451282133	0.008436335451014038	0.0
ASV161	0.0064275585858470635	-0.015374055245699826	0.0
ASV162	-0.014638450617534418	0.08208367522849519	0.0
ASV164	-0.011040090596703815	0.04064164831974629	0.0
ASV165	0.011614289143644665	-0.020752325838758592	0.0
ASV166	0.007032453849941819	0.0525554813890525	0.0
ASV168	0.01484624697195882	-0.02454579214467557	0.0
ASV169	-0.05173906792021219	0.023348779322955322	0.0
ASV170	0.017972720911096998	0.007764359622769159	0.0
ASV171	-0.0293491657802239	0.011193385070860715	0.0
ASV172	0.0005803564345798738	0.029045083106560628	0.0
ASV173	-0.003408460689081459	0.05127680646396337	0.0
ASV174	-0.022135724088525925	0.015645843558887606	0.0
ASV175	0.011342085271433112	-0.019700637636623265	0.0
ASV176	0.05036870381489355	0.043673787327501275	0.0
