	ZAM1_s11_OZA	ZAM1_s12_OZA	ZAM1_s13_OZA	ZAM1_s14_OZA	ZAM1_s15_OZA	ZAM1_s17_OZA	ZAM1_s18_OZA	ZAM1_s19_OZA	ZAM1_s30_OZS	ZAM1_s31_OZS	ZAM1_s32_OZS	ZAM1_s33_OZS	ZAM1_s34_OZS	ZAM1_s36_OZS	ZAM1_s37_OZS	ZAM1_s38_OZS	ZAM1_s49_OZA	ZAM1_s50_OZA	ZAM1_s51_OZA	ZAM1_s52_OZA	ZAM1_s53_OZA	ZAM1_s54_OZA	ZAM1_s55_OZA	ZAM1_s56_OZA	ZAM1_s67_OZS	ZAM1_s69_OZS	ZAM1_s70_OZS	ZAM1_s71_OZS	ZAM1_s72_OZS	ZAM1_s73_OZS	ZAM1_s74_OZS	ZAM1_s75_OZS	ZAM2_s11_OZD	ZAM2_s12_OZD	ZAM2_s14_OZD	ZAM2_s15_OZD	ZAM2_s16_OZD	ZAM2_s17_OZD	ZAM2_s18_OZD	ZAM2_s19_OZD	ZAM2_s20_OZD	ZAM2_s31_OZA	ZAM2_s32_OZA	ZAM2_s34_OZA	ZAM2_s35_OZA	ZAM2_s36_OZA	ZAM2_s37_OZA	ZAM2_s38_OZA	ZAM2_s39_OZA	ZAM2_s50_OZD	ZAM2_s51_OZD	ZAM2_s53_OZD	ZAM2_s54_OZD	ZAM2_s55_OZD	ZAM2_s56_OZD	ZAM2_s57_OZD	ZAM2_s58_OZD	ZAM2_s59_OZD	ZAM2_s70_OZA	ZAM2_s71_OZA	ZAM2_s72_OZA	ZAM2_s73_OZA	ZAM2_s74_OZA	ZAM2_s75_OZA	ZAM2_s76_OZA	ZAM2_s77_OZA	ZAM2_s78_OZA
ZAM1_s11_OZA	0.0	0.29760635632000415	1.75559438594338	1.557722323102989	1.1061541387579363	0.13565441598004924	1.7314793515369862	1.4620679975856137	1.0089952399585664	0.031077150475890578	0.6028806774697257	1.4470634048767264	0.7061075341975737	1.5630710830538757	0.5452560571024544	1.544622284948111	0.3237673234926653	1.4147950216849707	1.4396476864403225	1.0157717588573045	1.6147298926689135	0.4353788705834598	1.469676024063444	1.006811463593122	1.3878401441119264	0.6711588825883598	1.309967601340062	0.561334857244266	2.0124209166782396	1.1942073880158095	0.09441558885975385	1.5677672321963614	0.9713818202626554	0.5633807156890526	1.3672403922559324	1.1722548797503036	1.1678100025064972	1.6081870996133574	0.011485789665547669	0.14518393049858866	0.17168502423549262	0.5939475744442986	0.6455973005435827	0.9917429317777556	0.6138337119802151	0.7379442967149045	0.10081681396420603	0.1651195019583959	1.464250911285619	0.8557445242447502	0.9657694066370872	1.3521474222508736	0.41335329618143735	1.188258388317305	1.4671102218325278	0.18235627534166918	0.08152059488211785	0.014701372528311968	0.8742437107858241	0.8642966336034927	0.8116231184450147	1.0633705413826606	1.0440850981177099	0.6620224160736488	0.10071774511282966	0.25800777499521793	0.995039428353904
ZAM1_s12_OZA	0.29760635632000415	0.0	1.4788476315136536	1.298785679540971	1.4013586664218174	0.29538003743129115	2.028242198924456	1.7596533572717956	1.3062973600885546	0.3104057703623615	0.3279181551363182	1.1890671058105184	1.0034192843005156	1.2981551777025968	0.2578408249297263	1.2817276555108106	0.0348332196309218	1.1419430439388736	1.1615206098868744	1.3087129621224758	1.911789844548799	0.5004225296664755	1.767282086522016	1.3035921765940928	1.6854435301608623	0.3757701779006985	1.0438149561821286	0.8574577689097036	2.309677251000753	0.9253039867839975	0.3895673867733367	1.3033573503501343	1.2658191155090572	0.8582222206370328	1.6644665045770828	1.4676921510857388	0.9052868887016984	1.3463130921617616	0.28613794488032884	0.2546397645102873	0.45308190117192493	0.8897842721207454	0.931016957401787	1.2885363109413195	0.9011005928287392	0.5110661896486002	0.37780521661409905	0.4624717058240383	1.1871259296358474	1.1519848736324725	1.2617348155775263	1.6497535205043656	0.6738196152276815	0.9350123545384574	1.1963876798681157	0.20757854250166108	0.36973409068247864	0.308361723587238	1.1686453606985914	1.1614800679952966	1.1083509682946862	1.360900731192843	1.33917470597136	0.39440705695457556	0.25139086836554353	0.5555746921297485	0.709582471546066
ZAM1_s13_OZA	1.75559438594338	1.4788476315136536	0.0	0.2826178669161742	2.8480629933884902	1.68379616238883	3.4570608944278858	3.1740428900351376	2.737209966989501	1.7569031265308932	1.1543912062600332	0.3662701492760784	2.4404294702482554	0.23712160070228067	1.2211236139390105	0.2640024097948252	1.4656427772485023	0.34261869219495694	0.31739718684820795	2.7648255865518454	3.337836635573758	1.6140199982234464	3.1784459358398442	2.7409287451690756	3.0989574332751983	1.1184564247028213	0.45674251073466393	2.306600501316337	3.7280735785187886	0.5646496274866155	1.8497083761671214	0.2369759042208469	2.7171630195542873	2.2634735311820764	3.0909426867371597	2.9125324200103266	0.5995201484334088	0.22987793339556764	1.7450122982975014	1.7324618410499704	1.8681882326107988	2.2993115056843463	2.2904722686185908	2.689455818035406	2.270215552357104	1.0470121709943565	1.8487377827208629	1.91503750018215	0.29178036326578577	2.5957650334068303	2.654599674551148	3.062252395954682	2.0084937940482717	0.6018174249083367	0.295508799484442	1.5904239380547893	1.835544985568706	1.7621682314935114	2.5532801030329773	2.572394194641379	2.5493081885021662	2.7854547135860575	2.787035458095228	1.0935755399031297	1.6729952240552046	2.0021341588243726	0.7726952419413794
ZAM1_s14_OZA	1.557722323102989	1.298785679540971	0.2826178669161742	0.0	2.6302075407882595	1.4725723806315574	3.2287130817218612	2.9426761242754957	2.514262678263844	1.5552738805437802	0.9710515618923452	0.11069270808925705	2.2225708260759207	0.06032851531069665	1.0464018831117488	0.04193894409777615	1.2908677439580432	0.2057369542621323	0.24198408155447543	2.551987290357511	3.109152187539095	1.3712453102900735	2.946124701856868	2.5202036755015023	2.867823858748662	0.9650281955459531	0.26036588913472464	2.094927921215138	3.495087192471694	0.379621481178523	1.650287896560784	0.05557114750607531	2.502359770306977	2.038911999636686	2.863851922128815	2.6934309775160696	0.3935595449286617	0.05724318606527395	1.5477661761959922	1.5530404235471402	1.6548863679757757	2.075242301639726	2.0557506703014337	2.4583120015560764	2.037684787560164	0.8260295947515998	1.6548099781866026	1.7111895024870338	0.22012359575950122	2.3787862844429757	2.4218645083719506	2.8310782571457933	1.7756812468622711	0.37018947049679657	0.15374981497527804	1.3841389456101094	1.639001533554436	1.5626553382380146	2.319824429300169	2.3450874096847643	2.3316954949629767	2.560020941465134	2.570131714484062	0.9045945779698895	1.4686577821151794	1.7943011236697213	0.628495885500081
ZAM1_s15_OZA	1.1061541387579363	1.4013586664218174	2.8480629933884902	2.6302075407882595	0.0	1.1644998997186986	0.6311196599860489	0.39246808280337203	0.13719876147500382	1.099357373843408	1.705187883674846	2.5202142633319857	0.40789445459170376	2.6430548825223905	1.6511835639274115	2.6223384381884163	1.4240197392291922	2.5054876585057375	2.535464293959854	0.10949466084167185	0.5189386273238674	1.2851825036497333	0.40584301839906856	0.1168936281023997	0.32961436013593975	1.7767496264344549	2.394779005672787	0.5450392019944637	0.9164213069858705	2.2834562557940368	1.0124666447628763	2.6470644121751326	0.13699415109288346	0.595552606838338	0.2823304548827802	0.06671536267490984	2.2511902798211954	2.6837317568640824	1.1174197510654444	1.1705980589664413	0.9799728870166838	0.558911424465342	0.6164176676549984	0.2638363338269353	0.6216776872795013	1.8056451262045192	1.0248039312297175	0.9415655851084823	2.5589230065614808	0.25232857783929236	0.30554052165391893	0.30289862338149254	0.8708477444178924	2.2613689596938604	2.55499662600692	1.2594064512784422	1.0316253127201516	1.0971928397048287	0.38452203304837257	0.31389801160710706	0.2988354702188159	0.1344442799268156	0.062241441770343194	1.7600381905774651	1.1789793993116382	0.8505343909481528	2.0986959681723
ZAM1_s17_OZA	0.13565441598004924	0.29538003743129115	1.68379616238883	1.4725723806315574	1.1644998997186986	0.0	1.7798539212821634	1.5026444045766343	1.05683708475456	0.11192008363726241	0.546921650376592	1.3620058547482319	0.7573431260474949	1.4821502113748903	0.5046662163750893	1.462321718541444	0.32884217256877063	1.3413179673257467	1.3709921576942228	1.0814954218933714	1.6614835228846034	0.30163681119920194	1.5087546264910605	1.058766962857415	1.4276802196855138	0.6391204526007428	1.2318182587285562	0.6233878916668127	2.056434752551403	1.1193460676768578	0.19948598282455524	1.4864398169918034	1.0334002880664865	0.5896929604769253	1.413601868508838	1.2292859253645236	1.0883950151747384	1.5247808295247	0.13392879697146742	0.2591386039956666	0.18457456868196503	0.623990697087928	0.6463380879874459	1.0224864034120023	0.6186503718050161	0.6467484225566431	0.22693455397733636	0.2441025313692824	1.3944239262637605	0.9121713639097023	0.9920685398980302	1.391328023946779	0.37998604027494504	1.102438972933122	1.3914235354893147	0.09932750370230549	0.20196245838967788	0.12898105115577785	0.894926514184431	0.8991832989835525	0.8659449892922845	1.1075943094826455	1.1033236211623083	0.5974975164417279	0.05696391916509307	0.3220014035310854	0.9391624343751461
ZAM1_s18_OZA	1.7314793515369862	2.028242198924456	3.4570608944278858	3.2287130817218612	0.6311196599860489	1.7798539212821634	0.0	0.2906059373301235	0.723575775471486	1.7226742964282722	2.3252392114171716	3.119847600179962	1.0258547677329826	3.2454492701761937	2.2747895763744337	3.2236339567765087	2.0519475316981994	3.1147148641399367	3.1478465523974912	0.7331611862787096	0.11961544763053922	1.8628672300690199	0.2912202757722914	0.7246808256423396	0.36356421381242077	2.40261536542999	3.0012675389501267	1.1708773290652368	0.2863057374330837	2.892999443512562	1.6386857763673837	3.249060676813096	0.7681137542333272	1.1937965161777808	0.3663844206926738	0.5644378979895887	2.8578838379604816	3.2834837122864053	1.7428606087957708	1.8010864296504812	1.595882882786163	1.1581902553699233	1.1750903376897852	0.7709161482635465	1.1914639726110625	2.4104045784799957	1.6533888228719187	1.5663737247441922	3.170445731086838	0.8764825864706284	0.8087548637847549	0.40000200973077155	1.4531893928654087	2.863088273224669	3.16232159096852	1.8770261889269058	1.6589661207297823	1.7217938536489825	0.9111014239182695	0.8847028229040974	0.9199091035899954	0.6724031424156437	0.6930916493110504	2.377350338311246	1.7991644117398182	1.4739747808212573	2.718503656285095
ZAM1_s19_OZA	1.4620679975856137	1.7596533572717956	3.1740428900351376	2.9426761242754957	0.39246808280337203	1.5026444045766343	0.2906059373301235	0.0	0.4554699526388876	1.451283902465444	2.0493559140022235	2.834173024634848	0.7570531650660717	2.960422325397338	2.001898033768858	2.9383176443243664	1.7848292676822013	2.832065224832256	2.8664770501839545	0.501772742063176	0.17296211047871432	1.574729360479005	0.01848230754958212	0.46350489193257566	0.07512105609929573	2.1318202418142778	2.7177304315375004	0.9062734672572816	0.554389783500269	2.610698689570233	1.3707620670135243	2.9639186653355254	0.5237614028202879	0.9136359587503083	0.11245288821813094	0.33099869970798196	2.574566193963424	2.9977177412338567	1.4735282355345407	1.5408100102138598	1.319842116186258	0.8787956056977558	0.8873220362444337	0.48469439347149057	0.905046801065927	2.127033401718937	1.3888974431442063	1.2972418860909625	2.888678282677737	0.616189641687303	0.5208813969419006	0.11179175343206812	1.1671281461603915	2.578204413506367	2.8789269808321034	1.600765585556131	1.3924344311560148	1.4516520359851501	0.6230857365000786	0.6036611041588427	0.6558013180546323	0.39900510021608754	0.4497400759799445	2.099583375725171	1.524908724443481	1.204078693916037	2.4417617177331703
ZAM1_s30_OZS	1.0089952399585664	1.3062973600885546	2.737209966989501	2.514262678263844	0.13719876147500382	1.05683708475456	0.723575775471486	0.4554699526388876	0.0	0.9994780053717626	1.6017175201342864	2.4046803019466654	0.3028906965613538	2.528811383628271	1.551399985458847	2.5075883235902294	1.3308313403669565	2.394629834225426	2.4264783735254234	0.15190730574905692	0.606017139695858	1.160323953303171	0.4646728841124134	0.0336733131140973	0.38282527414578554	1.679835144388518	2.282395487211728	0.45093344854002276	1.003425938775587	2.1726745322651806	0.91687789736843	2.532641822959372	0.12024823161171738	0.47537609531646097	0.3582812157255094	0.18695736030105162	2.13883337783185	2.5683416126260443	1.0204180025373129	1.0853450170321812	0.8726111740413978	0.4390205028552172	0.48360745051827764	0.13678128987604626	0.4913140137592651	1.6919600065927287	0.9338795600970063	0.8439067692610039	2.449419061267791	0.16301052678105668	0.17461962075570156	0.3486720344188333	0.7458441011032336	2.1465891784788247	2.44312824579172	1.153663501224734	0.938005994611192	0.9990049680037272	0.2474686804491736	0.17920757869418252	0.20040441167316267	0.06061565305019329	0.1045906965052719	1.6542340789947791	1.0755887046065828	0.7511191584593184	1.9950569228679942
ZAM1_s31_OZS	0.031077150475890578	0.3104057703623615	1.7569031265308932	1.5552738805437802	1.099357373843408	0.11192008363726241	1.7226742964282722	1.451283902465444	0.9994780053717626	0.0	0.6065799067856339	1.4445820838547574	0.6968264434617136	1.5618168905569574	0.5522402080403179	1.5429734093245562	0.3384840265562721	1.415475199447075	1.4416078879689282	1.0107966329080735	1.6054792855323248	0.4081352232487154	1.4585549970365312	0.9982910223668526	1.3768347797087181	0.6805842565229027	1.3093178491381907	0.5543466987452191	2.0027014478319494	1.1943450950394683	0.09594090225141139	1.5664022740857664	0.9653664436323033	0.5478879957882197	1.3577371271835486	1.1651934968388988	1.166695219929052	1.6062585254224755	0.03736555943794934	0.17590161520225348	0.14804875421740576	0.5793825979184177	0.6254476619803659	0.9782949900713817	0.5943114574261085	0.732912058756822	0.1157461748625081	0.15848325965600657	1.4659230638827627	0.8481010134848024	0.9513294145554365	1.3409642382374976	0.3869427429898178	1.185378115052931	1.4672333795625674	0.1731953237078576	0.09196473561149109	0.018709460203488196	0.8584794228007795	0.8515463569160252	0.8033621178694283	1.0530658017133552	1.0374443312990085	0.6638639484031067	0.08825129681084024	0.24896219137802078	0.9997441829157925
