#OTU	ZAM1_s1_YZA	ZAM1_s2_YZA	ZAM1_s3_YZA	ZAM1_s4_YZA	ZAM1_s5_YZA	ZAM1_s6_YZA	ZAM1_s7_YZA	ZAM1_s8_YZA	ZAM1_s9_YZA	ZAM1_s10_YZA	ZAM1_s11_OZA	ZAM1_s12_OZA	ZAM1_s13_OZA	ZAM1_s14_OZA	ZAM1_s15_OZA	ZAM1_s17_OZA	ZAM1_s18_OZA	ZAM1_s19_OZA	ZAM1_s20_YZS	ZAM1_s21_YZS	ZAM1_s22_YZS	ZAM1_s23_YZS	ZAM1_s24_YZS	ZAM1_s25_YZS	ZAM1_s26_YZS	ZAM1_s27_YZS	ZAM1_s28_YZS	ZAM1_s29_YZS	ZAM1_s30_OZS	ZAM1_s31_OZS	ZAM1_s32_OZS	ZAM1_s33_OZS	ZAM1_s34_OZS	ZAM1_s36_OZS	ZAM1_s37_OZS	ZAM1_s38_OZS	ZAM1_s39_YZA	ZAM1_s40_YZA	ZAM1_s41_YZA	ZAM1_s43_YZA	ZAM1_s44_YZA	ZAM1_s45_YZA	ZAM1_s46_YZA	ZAM1_s47_YZA	ZAM1_s48_YZA	ZAM1_s49_OZA	ZAM1_s50_OZA	ZAM1_s51_OZA	ZAM1_s52_OZA	ZAM1_s53_OZA	ZAM1_s54_OZA	ZAM1_s55_OZA	ZAM1_s56_OZA	ZAM1_s58_YZS	ZAM1_s59_YZS	ZAM1_s60_YZS	ZAM1_s61_YZS	ZAM1_s62_YZS	ZAM1_s63_YZS	ZAM1_s65_YZS	ZAM1_s66_YZS	ZAM1_s67_OZS	ZAM1_s69_OZS	ZAM1_s70_OZS	ZAM1_s71_OZS	ZAM1_s72_OZS	ZAM1_s73_OZS	ZAM1_s74_OZS	ZAM1_s75_OZS	ZAM2_s1_YZD	ZAM2_s2_YZD	ZAM2_s3_YZD	ZAM2_s4_YZD	ZAM2_s5_YZD	ZAM2_s6_YZD	ZAM2_s7_YZD	ZAM2_s8_YZD	ZAM2_s9_YZD	ZAM2_s10_YZD	ZAM2_s11_OZD	ZAM2_s12_OZD	ZAM2_s14_OZD	ZAM2_s15_OZD	ZAM2_s16_OZD	ZAM2_s17_OZD	ZAM2_s18_OZD	ZAM2_s19_OZD	ZAM2_s20_OZD	ZAM2_s21_YZA	ZAM2_s22_YZA	ZAM2_s23_YZA	ZAM2_s24_YZA	ZAM2_s25_YZA	ZAM2_s26_YZA	ZAM2_s27_YZA	ZAM2_s28_YZA	ZAM2_s29_YZA	ZAM2_s30_YZA	ZAM2_s31_OZA	ZAM2_s32_OZA	ZAM2_s34_OZA	ZAM2_s35_OZA	ZAM2_s36_OZA	ZAM2_s37_OZA	ZAM2_s38_OZA	ZAM2_s39_OZA	ZAM2_s40_YZD	ZAM2_s41_YZD	ZAM2_s42_YZD	ZAM2_s43_YZD	ZAM2_s44_YZD	ZAM2_s45_YZD	ZAM2_s46_YZD	ZAM2_s47_YZD	ZAM2_s48_YZD	ZAM2_s49_YZD	ZAM2_s50_OZD	ZAM2_s51_OZD	ZAM2_s53_OZD	ZAM2_s54_OZD	ZAM2_s55_OZD	ZAM2_s56_OZD	ZAM2_s57_OZD	ZAM2_s58_OZD	ZAM2_s59_OZD	ZAM2_s60_YZA	ZAM2_s61_YZA	ZAM2_s63_YZA	ZAM2_s64_YZA	ZAM2_s65_YZA	ZAM2_s66_YZA	ZAM2_s67_YZA	ZAM2_s69_YZA	ZAM2_s70_OZA	ZAM2_s71_OZA	ZAM2_s72_OZA	ZAM2_s73_OZA	ZAM2_s74_OZA	ZAM2_s75_OZA	ZAM2_s76_OZA	ZAM2_s77_OZA	ZAM2_s78_OZA
ASV21	176	118	0	692	279	0	0	0	0	0	0	0	0	0	0	0	0	0	52	17	288	252	244	0	0	390	0	0	0	0	0	0	0	0	0	0	461	268	0	370	0	0	0	0	0	0	0	0	0	0	5	0	0	591	560	866	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV22	0	0	1	6	0	4	0	0	0	0	0	0	5	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1214	0	0	0	0	0	0	0	0	4	0	4	792	0	0	0	0	0	0	0	0	0	4786	2026	44	926	0	0	0	1549	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	4	0	0	0	0	0	0	0	0	0	0	0	0	21	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	739	48	123	32	0	3	0	0	0	44	0	87	0	311	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	263	11	0	1955	68	50	0	0	0	0	0	0	0	0	0	0	0	0	0	420	26	1100	490	353	0	0	0	0	0	0	0	0	0	0	0	0	0	1602	139	53	4	109	82	0	0	0	385	0	0	0	31	0	0	0	16	19	15	53	261	395	0	0	0
ASV24	44	19	0	69	0	137	28	552	267	106	10	31	133	51	22	51	76	14	140	210	27	0	14	37	629	342	232	124	23	31	141	27	136	86	43	108	216	56	170	0	26	86	120	6	20	27	96	27	46	60	0	23	27	103	10	29	9	153	113	4	98	22	53	14	60	38	32	55	59	216	27	100	76	78	37	74	0	31	41	123	30	102	117	23	134	96	94	43	0	0	5	120	0	12	15	0	56	117	10	25	8	57	21	26	19	62	90	75	95	43	94	12	68	0	104	94	105	14	227	274	51	28	60	36	39	0	0	176	0	26	4	15	43	0	55	53	110	72	16	164	46	108
ASV25	21	42	0	52	0	37	1	26	0	0	0	0	0	0	37	159	193	109	69	0	0	0	2	0	28	0	40	12	39	67	0	0	248	0	36	0	63	59	0	0	22	73	53	0	12	0	0	0	52	255	0	114	34	0	0	0	4	154	124	16	105	172	0	0	214	345	125	40	0	53	21	30	0	32	0	0	0	0	11	177	39	230	231	0	0	112	92	202	0	0	4	33	0	0	0	0	0	51	41	44	20	97	0	0	20	46	31	28	45	0	42	0	9	0	0	11	117	59	408	671	0	0	100	139	269	0	0	65	0	0	0	0	16	0	119	56	200	204	0	237	71	98
ASV26	0	0	0	0	0	0	0	0	0	0	137	135	954	225	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	441	155	0	232	709	34	0	0	0	0	0	0	0	0	0	98	485	30	11	0	1830	4	0	0	0	0	0	0	0	0	0	0	784	47	29	0	65	88	38	0	0	0	0	0	0	0	0	0	0	0	0	19	0	107	0	5	19	13	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	49	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	25	31	0	0	0	0	0	0	0	0	0	0	0	0	0	11	79	36	36
ASV27	14	134	17	339	24	0	0	0	0	0	41	0	83	22	0	48	0	13	299	255	32	141	55	0	0	0	0	0	127	38	0	0	0	0	0	37	113	105	465	5	0	54	0	0	0	44	69	24	11	22	0	0	9	347	91	39	60	0	0	0	0	86	170	14	0	35	11	29	39	0	0	0	0	0	65	85	22	54	234	39	0	22	29	0	172	26	0	0	0	0	0	0	0	8	34	108	54	248	19	15	0	0	20	25	0	0	0	0	0	0	0	12	159	33	138	49	212	0	340	48	41	32	38	0	0	0	0	0	0	29	9	60	64	8	52	170	5	0	0	80	0	0
ASV28	0	0	0	0	0	0	0	0	0	0	18	94	85	42	25	47	40	98	0	0	0	0	0	0	0	0	0	0	29	1228	50	237	11	38	57	252	0	0	0	0	0	0	393	0	0	273	27	1315	115	26	0	43	67	0	0	0	0	0	0	0	0	41	120	222	13	54	47	25	128	0	0	0	0	0	0	0	0	0	0	47	63	8	78	57	52	106	246	136	0	0	0	0	0	0	0	0	0	0	197	118	36	87	2	273	536	65	0	0	0	0	0	0	0	0	0	0	633	145	0	48	11	10	114	424	49	0	0	0	0	0	0	0	0	115	115	178	43	242	46	374	92	28
ASV29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	0	0	22	0	0	1	0	0	0	0	0	0	0	67	0	0	120	11	35	0	17	0	0	672	161	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	67	0	0	0	0	0	83	51	239	6	0	272	0	3	0	0	0	0	0	0	0	0	0	0	76	0	488	18	14	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	220	0	69	227	0	130	0	0	0	0	0	0	0	0	0	0	570	0	178	2	12	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	15	559	120	130	0	101
ASV30	0	0	0	0	0	0	52	997	511	0	3	9	171	61	0	39	0	0	0	0	0	0	0	0	0	642	0	6	50	0	98	177	50	103	15	179	0	0	27	0	0	527	32	102	0	14	202	34	5	0	0	2	0	0	0	0	0	0	92	0	36	51	47	64	57	0	22	46	114	552	0	280	0	0	0	0	0	0	0	8	0	0	0	49	48	35	12	61	0	29	9	457	0	0	0	0	0	0	0	0	0	0	0	20	3	38	548	0	198	0	0	0	0	0	0	0	24	0	0	4	71	2	76	7	42	0	113	554	0	0	0	31	0	0	0	0	0	8	16	53	28	32
ASV31	204	0	0	0	9	0	0	0	0	0	0	0	0	7	16	208	15	46	0	145	0	34	29	0	19	0	0	0	142	81	0	6	23	10	0	0	425	91	399	115	0	0	0	0	0	0	6	0	32	385	234	33	29	20	45	76	24	0	4	0	3	42	0	0	37	30	0	0	6	0	0	0	0	0	0	230	0	179	0	18	0	71	18	0	0	4	7	9	179	0	0	0	0	0	0	0	140	20	158	0	0	27	0	0	0	0	0	0	0	0	0	0	333	0	365	0	23	31	121	87	0	0	0	0	11	171	0	0	0	0	0	0	0	0	125	15	19	35	0	21	48	19
ASV32	51	0	0	32	0	0	27	25	0	0	0	0	57	157	15	132	68	74	0	0	0	0	0	0	1	82	0	20	67	107	34	59	40	133	0	136	145	0	0	0	47	123	22	30	11	7	37	54	29	0	38	31	39	0	17	0	0	125	75	0	60	68	15	8	57	120	33	0	83	10	12	0	0	0	0	0	0	35	0	96	0	155	6	7	28	9	8	115	0	0	6	0	0	0	0	0	0	0	24	3	0	3	12	19	0	52	126	70	0	0	0	0	0	0	36	0	96	26	293	2	35	0	10	33	106	0	0	0	0	0	0	0	0	0	80	18	108	0	15	173	0	80
ASV33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	195	234	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3218	3107	51	0	0	141	292	159	0	0	0	0	0	0	0	0	0	0	0	3	119	0	183	1015	424	0	0	0	0	0	0	0	0	0	0	151	325	329
ASV34	51	0	5	72	0	2	11	11	0	17	91	71	13	19	0	0	117	91	10	0	112	0	21	33	0	19	2	9	25	22	74	42	26	31	63	38	54	67	64	71	47	23	6	6	64	67	10	63	21	39	0	25	4	3	32	75	110	5	53	0	8	56	77	218	78	39	83	25	47	128	41	5	16	6	23	34	4	6	13	0	0	82	63	55	8	2	52	211	17	34	7	49	9	5	0	19	8	0	0	0	76	0	0	30	0	90	29	18	143	0	93	9	18	30	4	85	122	130	0	0	57	0	2	0	103	188	0	13	31	0	0	0	4	0	43	12	42	228	74	67	32	82
ASV35	0	0	0	0	0	33	4	131	88	0	52	57	94	35	20	93	11	46	0	0	0	0	0	0	78	118	0	0	34	26	179	51	59	75	152	147	25	0	0	56	9	82	31	26	4	60	105	41	22	22	70	42	58	0	0	0	0	70	41	1	50	94	81	63	100	63	30	38	10	49	15	155	84	121	0	0	0	0	0	35	0	14	37	30	20	14	73	18	0	9	4	114	0	0	0	0	0	0	33	0	1	0	7	19	29	58	87	84	21	80	54	0	0	0	0	0	74	18	74	48	43	12	44	71	61	0	48	151	0	0	0	0	0	0	49	45	54	17	7	110	49	95
ASV36	0	0	0	1	0	0	0	0	0	0	0	0	0	0	260	115	165	96	0	0	0	0	0	0	0	0	0	0	131	127	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	258	0	146	140	0	0	0	0	0	0	0	0	192	0	0	6	195	0	0	0	0	0	0	0	0	0	0	0	0	0	218	213	637	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	47	104	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	72	34	89	0	0	0	0	0	0	0	0	0	0	0	0	0	13	68	50	213	169	0	0	0	0
ASV37	37	33	0	9	0	88	48	37	0	0	0	0	71	40	0	0	0	0	111	0	0	0	0	0	0	123	0	0	62	0	0	121	245	18	0	58	35	30	0	0	36	103	29	0	0	0	61	32	0	0	0	0	0	147	0	14	0	0	0	0	0	29	0	257	48	0	28	0	68	0	0	0	3	0	0	284	0	58	0	0	0	0	38	0	97	26	0	10	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	39	0	0	60	35	0	9	0	310	0	0	28	0	274	0	0	8	21	91	0	0	0	0	0	6	0	48	0	0	0	0	0	0	0	0	0
ASV38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2165	0	395	2142	0	0	0	0	0	0	0	0	0	0	0	0	770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	56	0	0	0	0	0
ASV39	0	0	4	0	0	21	9	41	26	9	0	0	0	0	33	137	25	97	0	0	1	0	0	0	26	53	14	12	18	74	0	0	249	0	0	0	2	0	3	11	4	6	6	34	5	0	0	0	63	108	61	20	108	2	0	0	0	9	23	1	18	57	0	0	290	202	0	0	0	12	0	18	21	8	9	0	8	0	5	201	74	181	23	0	0	0	157	50	34	6	0	18	7	0	0	11	2	6	163	14	29	14	0	0	17	68	24	0	28	12	19	0	0	0	12	2	30	109	131	203	0	0	0	64	85	34	41	55	25	0	0	14	0	0	0	8	61	90	23	198	76	115
ASV40	0	0	0	0	0	16	11	95	5	47	46	30	39	71	11	19	32	17	7	0	0	0	0	0	22	73	108	17	37	81	134	42	17	44	123	105	22	0	14	13	13	38	28	11	16	33	41	41	22	34	0	21	20	39	0	0	0	94	106	26	33	14	65	29	8	17	22	55	41	129	15	78	43	11	0	0	0	0	0	96	63	0	93	23	25	56	33	42	0	0	15	10	0	0	0	0	0	0	11	82	14	27	10	17	0	67	72	77	35	28	25	0	0	0	0	0	99	74	43	145	46	0	51	46	43	13	16	33	0	0	0	7	0	0	114	74	0	47	28	27	44	66
ASV41	0	0	0	0	0	0	0	30	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	18	347	0	0	0	315	655	0	0	0	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	52	0	0	0	462	0	0	0	0	684	0	0	0	0	0	0	0	0	0	0	401	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0
ASV42	106	77	0	37	3	6	0	43	81	25	0	4	41	10	8	0	17	16	85	55	4	0	23	8	44	109	46	26	0	0	19	60	0	63	20	14	237	14	0	27	88	123	36	24	3	1	49	9	8	8	0	2	9	206	13	0	6	93	47	6	28	0	0	43	0	32	61	0	22	33	46	41	35	25	0	42	0	11	64	129	0	0	120	95	0	2	7	14	22	10	2	37	2	0	0	29	16	9	27	0	0	0	15	5	0	13	0	0	73	16	49	0	29	1	22	32	48	0	0	353	25	1	0	0	11	41	11	37	0	17	0	0	6	0	0	0	0	0	0	13	0	10
ASV43	0	0	0	0	0	0	0	48	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	462	1254	0	195	0	0	0	191	70	0	0	0	0	0	0	0	0	0	0	199	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1143	1035	0	43	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	202	0	284	0	0	0	74	0	0	0	0	0	0	0	0	0
ASV44	15	7	0	10	0	1	0	7	16	12	24	35	44	42	25	44	8	19	33	40	10	19	5	12	23	10	11	12	18	23	63	63	207	64	26	26	47	36	112	21	10	50	11	10	15	54	20	17	8	116	0	25	17	57	12	12	4	27	40	12	31	5	38	38	86	22	26	56	70	8	0	0	11	19	0	0	0	0	35	41	16	13	42	16	31	12	34	26	0	0	0	0	7	0	0	6	0	0	15	9	3	21	1	8	15	34	42	36	0	12	70	0	0	0	10	7	42	19	32	68	42	0	13	35	48	0	20	0	56	0	0	1	0	3	25	5	67	136	21	55	66	53
ASV45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	112	164	45	0	0	0	0	0	0	0	0	0	0	107	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	38	0	57	14	0	0	0	0	0	0	0	0	198	0	0	94	412	0	0	0	0	0	0	0	0	0	0	0	0	0	177	34	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	28	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	50	151	0	0	0	0	0
ASV46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	206	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1188	0	0	0	0	0	0	31	81	0	0	0	0	0	0	0	0	0	96	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	345
ASV47	11	32	56	20	8	0	5	0	44	8	111	127	22	44	32	43	11	69	50	117	17	13	18	0	0	18	11	0	43	76	165	58	25	51	71	44	50	55	25	7	0	21	0	0	8	36	17	28	27	84	173	6	8	10	0	9	5	0	0	1	0	88	41	8	77	10	57	65	56	0	0	0	0	0	0	0	0	0	0	30	27	76	11	23	12	17	23	41	0	0	0	0	0	0	0	0	0	0	7	21	0	10	7	8	9	24	0	0	0	0	0	0	0	0	0	0	44	30	40	83	42	13	31	6	18	0	0	0	0	0	0	0	0	0	13	15	0	5	5	47	19	14
ASV48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	218	0	0	0	191	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204	0	0	0	0	0	0	45	91	0	0	0	0	0	0	0	0	0	113	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	377
ASV49	8	24	23	14	0	0	0	15	13	0	61	51	14	19	24	39	16	34	5	21	7	18	0	9	17	35	0	1	19	55	51	43	52	54	30	42	0	27	39	0	7	23	4	4	3	35	27	47	9	66	0	18	10	0	3	5	0	0	0	1	13	49	36	27	39	14	26	74	70	11	0	18	2	24	36	24	10	4	46	25	4	7	22	7	18	27	42	2	14	0	0	21	1	0	0	5	8	0	21	0	8	0	4	13	14	54	28	0	19	26	11	0	26	10	18	8	38	10	84	56	23	13	54	17	90	16	5	12	10	0	0	9	0	0	11	18	22	0	8	91	15	46
ASV50	48	17	0	38	25	35	0	0	0	0	0	0	29	110	13	0	11	35	20	46	19	4	9	0	0	0	0	0	12	0	0	96	9	114	0	119	42	58	0	52	10	0	0	0	0	0	38	44	17	31	394	12	23	9	3	18	21	0	0	0	0	6	0	42	14	13	146	0	66	0	0	0	0	0	4	23	0	1	92	9	8	35	56	45	61	31	42	198	0	0	0	0	0	0	75	47	0	1	0	12	0	26	6	39	23	64	0	0	0	0	0	2	13	5	0	59	37	82	3	47	32	57	59	108	174	138	0	0	0	6	9	0	0	5	9	4	39	56	66	74	29	42
ASV51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	305	131	0	0	0	0	0	0	0	0	0	0	38	65	0	0	21	0	0	0	0	0	0	0	0	0	89	0	39	0	0	0	205	34	0	130	51	50	0	0	0	81	0	20	0	3	0	0	238	41	0	54	0	0	207	0	0	0	0	0	0	0	0	0	0	530	48	28	13	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	69	430	121	290	0	0	0	107	0	0	0	0	0	0	0	0	349	0	4	0	13	3	11	0	0	0	0	0	0	0	0	0	0	208	0	0	3	164	21	0	0	0
ASV52	0	0	0	0	0	0	0	0	0	0	0	106	288	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	140	40	242	0	0	0	0	0	0	0	0	0	144	316	121	0	15	0	4	0	0	0	0	0	0	0	0	0	0	28	0	0	0	23	54	307	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	31	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	50	0	312	0	0	0	0	0	0	0	0	0	0	0	0	45	11	19	0	54	0	191	0	0	0	0	0	0	0	0	0	0	0	25	0	23	185	0	60
ASV53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	134	0	0	0	0	0	0	0	0	0	0	0	0	741	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	108	0	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	16	0	38	0	0	0	0
ASV54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685	1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	141	0	0	0	0
ASV55	0	0	0	0	0	0	0	0	0	0	68	0	164	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	116	127	148	0	0	0	0	0	0	0	0	0	0	78	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	38	0	0	57	91	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	68	163	155	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	35	43	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	148	81	89	0	0	0	0	0	0	0	0	0	0	0	0	0	30	248	64	117
ASV56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	65	200	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	47	34	174	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	99	249	125	0	53	0	0	0	0	38	0	0	0	0	0	0	0	724	88	125
ASV57	7	52	0	104	3	0	0	0	0	0	0	0	0	0	0	0	0	0	66	42	69	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	60	163	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	62	323	21	118	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV58	51	8	11	0	15	17	15	3	59	119	0	0	0	0	87	0	0	36	81	74	35	10	32	22	21	3	32	68	0	0	0	0	0	0	0	0	60	94	74	46	20	0	45	9	18	0	0	0	141	0	0	27	0	38	11	27	12	37	32	6	23	0	0	0	0	0	0	0	0	116	18	24	37	6	17	35	9	33	92	0	9	152	104	0	0	0	0	0	0	48	8	28	0	6	126	25	22	0	0	9	18	67	0	0	0	0	16	13	28	45	67	28	17	41	17	35	2	51	44	239	0	0	0	0	0	177	13	71	0	8	15	0	16	71	68	0	96	91	0	0	0	0
ASV59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	7669	0	0	0	0	0	0	0	2
ASV60	0	21	0	13	3	21	5	13	44	0	23	24	19	19	36	52	10	30	13	43	2	25	2	2	22	9	19	11	5	13	54	11	24	15	22	56	12	7	6	15	5	3	8	3	0	15	65	34	18	0	0	5	10	10	0	4	1	17	12	3	20	4	11	13	55	66	19	12	47	17	15	18	13	33	64	15	12	7	36	24	16	59	42	3	19	12	42	14	15	4	0	6	5	21	25	11	34	61	4	7	7	7	5	11	5	22	6	20	0	6	4	3	13	16	18	21	7	20	81	154	3	19	33	32	34	15	10	11	0	16	1	23	15	1	14	2	25	5	0	91	0	22
ASV61	0	0	0	0	0	0	0	0	0	0	27	48	23	60	10	0	5	11	0	0	0	0	0	0	0	0	0	0	21	38	103	83	0	14	106	112	0	0	0	0	0	0	0	0	0	46	50	45	24	7	0	0	5	0	0	0	0	0	0	0	0	5	20	32	0	0	15	38	131	0	0	0	0	0	0	0	0	0	0	0	36	10	0	62	16	24	53	69	0	0	0	0	0	0	0	0	0	0	0	20	8	0	12	17	18	63	0	0	0	0	0	0	0	0	0	0	14	38	14	0	13	13	14	88	61	0	0	0	0	0	0	0	0	0	6	4	12	0	14	124	39	73
