#OTU	ZAM1_s1_YZA	ZAM1_s2_YZA	ZAM1_s3_YZA	ZAM1_s4_YZA	ZAM1_s5_YZA	ZAM1_s6_YZA	ZAM1_s7_YZA	ZAM1_s8_YZA	ZAM1_s9_YZA	ZAM1_s10_YZA	ZAM1_s11_OZA	ZAM1_s12_OZA	ZAM1_s13_OZA	ZAM1_s14_OZA	ZAM1_s15_OZA	ZAM1_s17_OZA	ZAM1_s18_OZA	ZAM1_s19_OZA	ZAM1_s20_YZS	ZAM1_s21_YZS	ZAM1_s22_YZS	ZAM1_s23_YZS	ZAM1_s24_YZS	ZAM1_s25_YZS	ZAM1_s26_YZS	ZAM1_s27_YZS	ZAM1_s28_YZS	ZAM1_s29_YZS	ZAM1_s30_OZS	ZAM1_s31_OZS	ZAM1_s32_OZS	ZAM1_s33_OZS	ZAM1_s34_OZS	ZAM1_s36_OZS	ZAM1_s37_OZS	ZAM1_s38_OZS	ZAM1_s39_YZA	ZAM1_s40_YZA	ZAM1_s41_YZA	ZAM1_s43_YZA	ZAM1_s44_YZA	ZAM1_s45_YZA	ZAM1_s46_YZA	ZAM1_s47_YZA	ZAM1_s48_YZA	ZAM1_s49_OZA	ZAM1_s50_OZA	ZAM1_s51_OZA	ZAM1_s52_OZA	ZAM1_s53_OZA	ZAM1_s54_OZA	ZAM1_s55_OZA	ZAM1_s56_OZA	ZAM1_s58_YZS	ZAM1_s59_YZS	ZAM1_s60_YZS	ZAM1_s61_YZS	ZAM1_s62_YZS	ZAM1_s63_YZS	ZAM1_s65_YZS	ZAM1_s66_YZS	ZAM1_s67_OZS	ZAM1_s69_OZS	ZAM1_s70_OZS	ZAM1_s71_OZS	ZAM1_s72_OZS	ZAM1_s73_OZS	ZAM1_s74_OZS	ZAM1_s75_OZS	ZAM2_s1_YZD	ZAM2_s2_YZD	ZAM2_s3_YZD	ZAM2_s4_YZD	ZAM2_s5_YZD	ZAM2_s6_YZD	ZAM2_s7_YZD	ZAM2_s8_YZD	ZAM2_s9_YZD	ZAM2_s10_YZD	ZAM2_s11_OZD	ZAM2_s12_OZD	ZAM2_s14_OZD	ZAM2_s15_OZD	ZAM2_s16_OZD	ZAM2_s17_OZD	ZAM2_s18_OZD	ZAM2_s19_OZD	ZAM2_s20_OZD	ZAM2_s21_YZA	ZAM2_s22_YZA	ZAM2_s23_YZA	ZAM2_s24_YZA	ZAM2_s25_YZA	ZAM2_s26_YZA	ZAM2_s27_YZA	ZAM2_s28_YZA	ZAM2_s29_YZA	ZAM2_s30_YZA	ZAM2_s31_OZA	ZAM2_s32_OZA	ZAM2_s34_OZA	ZAM2_s35_OZA	ZAM2_s36_OZA	ZAM2_s37_OZA	ZAM2_s38_OZA	ZAM2_s39_OZA	ZAM2_s40_YZD	ZAM2_s41_YZD	ZAM2_s42_YZD	ZAM2_s43_YZD	ZAM2_s44_YZD	ZAM2_s45_YZD	ZAM2_s46_YZD	ZAM2_s47_YZD	ZAM2_s48_YZD	ZAM2_s49_YZD	ZAM2_s50_OZD	ZAM2_s51_OZD	ZAM2_s53_OZD	ZAM2_s54_OZD	ZAM2_s55_OZD	ZAM2_s56_OZD	ZAM2_s57_OZD	ZAM2_s58_OZD	ZAM2_s59_OZD	ZAM2_s60_YZA	ZAM2_s61_YZA	ZAM2_s63_YZA	ZAM2_s64_YZA	ZAM2_s65_YZA	ZAM2_s66_YZA	ZAM2_s67_YZA	ZAM2_s69_YZA	ZAM2_s70_OZA	ZAM2_s71_OZA	ZAM2_s72_OZA	ZAM2_s73_OZA	ZAM2_s74_OZA	ZAM2_s75_OZA	ZAM2_s76_OZA	ZAM2_s77_OZA	ZAM2_s78_OZA
ASV11	3	0	0	8	0	68	60	253	160	149	318	164	0	0	73	83	232	230	35	0	0	0	8	46	158	339	66	94	65	213	480	0	119	0	328	4	404	0	98	0	31	231	66	80	27	126	52	0	144	94	10	115	45	285	23	27	31	493	63	31	188	69	276	0	63	121	33	169	18	125	56	561	0	32	0	202	74	119	351	204	38	184	175	31	0	24	134	96	0	13	0	78	0	10	21	276	0	30	35	77	19	78	0	0	12	50	136	57	301	0	66	0	260	87	300	250	217	55	265	1151	47	40	43	107	78	0	51	156	0	58	11	179	81	0	166	159	142	103	0	0	57	247
ASV12	0	0	0	0	0	0	0	0	0	0	382	751	0	0	865	0	5	2	0	0	0	0	0	0	0	0	0	0	0	56	764	0	0	0	3007	0	0	0	0	0	0	0	0	0	0	1602	0	0	786	0	0	12	0	0	0	0	0	0	0	0	0	0	694	0	0	1263	0	1410	0	0	0	0	0	0	0	0	0	0	0	637	0	0	55	0	0	0	3786	40	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	80	231	0	0	0	0	0	0	0	0	0	0	7	0	85	0	0	0	0	564	149	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	338	0
ASV13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	703	313	855	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	507	0	0	0	0	0	0	48	0	0	0	569	463	2370	175	102	0	0	0	0	0	0	0	0	0	0	0	0	1309	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	2330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	206	0	0	0	0	0
ASV14	0	0	0	0	0	1	0	0	0	1	81	144	18	6	45	76	200	66	1	0	0	0	0	0	0	0	0	0	2	21	119	71	2	92	420	20	0	0	0	0	0	0	0	0	0	68	70	0	244	2	0	13	147	0	0	0	1	0	0	1	0	1	117	3	0	2	871	522	8	0	0	0	0	0	0	0	0	0	0	104	0	21	95	138	12	345	383	39	0	0	0	0	0	0	0	0	0	0	0	2	0	1	162	27	28	21	0	0	0	0	0	0	0	0	0	0	77	3	0	5	173	258	114	708	247	0	0	0	0	0	0	0	0	0	19	68	0	834	44	256	113	183
ASV15	31	0	0	1225	0	0	0	0	0	0	0	0	0	0	0	512	363	176	0	0	222	0	15	0	0	0	0	1	0	162	0	0	176	0	0	0	1174	77	2310	941	0	0	0	0	0	0	0	1	0	809	0	18	59	0	241	351	92	0	0	1	0	2	0	0	260	0	4	0	0	0	0	0	0	0	0	0	0	0	0	84	44	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	150	350	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	180	0	0	0	774	0	284
ASV16	0	0	0	0	0	326	0	303	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	88	1110	146	836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	248	0	0	0	0	0	0	0	0	0	0	0	0	0	49	3127	0	2556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV17	93	16	0	50	160	52	21	30	35	371	283	0	0	0	178	128	182	288	33	55	17	15	8	47	49	53	73	159	126	846	0	360	110	0	0	311	94	63	0	104	88	7	56	12	70	377	62	142	320	132	566	251	247	60	20	80	33	35	33	37	33	88	35	213	194	250	190	121	123	254	91	17	51	23	0	44	0	0	43	150	137	476	183	0	0	0	0	0	16	80	12	9	0	0	270	35	0	0	61	86	97	109	0	0	0	0	34	16	296	225	416	0	5	0	0	99	394	809	222	50	0	0	0	0	0	376	35	41	375	20	20	1	0	219	175	74	245	349	0	128	0	0
ASV18	0	0	0	22	0	59	123	25	50	45	93	166	136	267	29	0	0	44	102	0	0	0	0	25	65	1	21	157	0	0	129	97	113	213	179	203	0	0	0	0	61	130	60	48	59	234	168	318	97	0	0	0	48	0	0	0	0	271	177	145	171	0	210	150	316	1	257	254	227	115	116	47	36	54	61	0	0	27	0	103	0	0	0	31	348	0	0	0	48	0	0	38	0	0	0	0	0	2	0	0	78	14	63	104	0	0	156	248	256	118	306	38	0	0	37	0	146	0	0	125	150	106	0	0	0	436	0	122	0	0	0	0	18	0	0	0	40	135	82	833	0	0
ASV19	12	0	0	735	0	0	0	0	1	0	0	0	0	0	0	1053	609	276	0	0	143	0	0	0	0	0	0	0	0	258	0	0	48	0	0	0	762	29	1464	590	0	0	0	0	0	0	0	0	0	589	0	34	91	2	133	196	48	0	0	0	0	0	0	0	74	0	0	0	4	0	0	0	0	0	0	0	0	0	0	55	39	1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	104	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32	244	552	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	114	29	0	0	1223	0	503
ASV20	13	78	11	77	0	28	38	166	63	48	28	76	9	80	90	18	129	104	123	201	19	99	31	12	201	243	85	66	11	37	124	0	220	27	0	59	22	39	61	6	14	141	90	20	13	75	0	63	105	49	9	103	93	67	0	19	6	170	139	21	97	67	89	24	163	87	0	18	80	185	54	64	29	105	80	7	33	15	109	238	50	179	393	0	0	0	13	28	0	19	12	110	12	7	60	43	6	47	5	28	26	125	0	26	0	23	180	109	86	37	102	17	0	69	5	115	225	39	403	902	0	2	0	0	69	0	59	203	131	27	10	41	43	0	74	89	254	236	0	0	49	46
